TYPE,N,THREADS,TIME (MICROSECONDES)
JAVA-for-loop object,32000,1,108.0
JAVA-for-loop object,32000,1,111.0
JAVA-for-loop object,32000,1,115.0
JAVA-for-loop object,32000,1,117.0
JAVA-for-loop object,32000,1,119.0
JAVA-for-loop object,32000,1,120.0
JAVA-for-loop object,32000,1,127.0
JAVA-for-loop object,32000,1,3430.0
JAVA-for-loop object,32000,1,351.0
JAVA-for-loop object,32000,1,353.0
JAVA-for-loop object,320000,1,1084.0
JAVA-for-loop object,320000,1,1084.0
JAVA-for-loop object,320000,1,1165.0
JAVA-for-loop object,320000,1,1177.0
JAVA-for-loop object,320000,1,1188.0
JAVA-for-loop object,320000,1,1227.0
JAVA-for-loop object,320000,1,2431.0
JAVA-for-loop object,320000,1,3291.0
JAVA-for-loop object,320000,1,3376.0
JAVA-for-loop object,320000,1,8431.0
JAVA-for-loop object,3200000,1,10142.0
JAVA-for-loop object,3200000,1,10298.0
JAVA-for-loop object,3200000,1,10987.0
JAVA-for-loop object,3200000,1,11086.0
JAVA-for-loop object,3200000,1,11152.0
JAVA-for-loop object,3200000,1,11355.0
JAVA-for-loop object,3200000,1,12521.0
JAVA-for-loop object,3200000,1,14302.0
JAVA-for-loop object,3200000,1,32432.0
JAVA-for-loop object,3200000,1,81564.0
JAVA-for-loop object,32000000,1,141930.0
JAVA-for-loop object,32000000,1,153488.0
JAVA-for-loop object,32000000,1,156209.0
JAVA-for-loop object,32000000,1,157885.0
JAVA-for-loop object,32000000,1,164979.0
JAVA-for-loop object,32000000,1,201033.0
JAVA-for-loop object,32000000,1,232223.0
JAVA-for-loop object,32000000,1,250127.0
JAVA-for-loop object,32000000,1,279475.0
JAVA-for-loop object,32000000,1,289500.0
JAVA-parallel stream,32000,1,299.0
JAVA-parallel stream,32000,1,306.0
JAVA-parallel stream,32000,1,313.0
JAVA-parallel stream,32000,1,336.0
JAVA-parallel stream,32000,1,346.0
JAVA-parallel stream,32000,1,374.0
JAVA-parallel stream,32000,1,395.0
JAVA-parallel stream,32000,1,428.0
JAVA-parallel stream,32000,1,537.0
JAVA-parallel stream,32000,1,8595.0
JAVA-parallel stream,320000,1,19861.0
JAVA-parallel stream,320000,1,524.0
JAVA-parallel stream,320000,1,545.0
JAVA-parallel stream,320000,1,547.0
JAVA-parallel stream,320000,1,554.0
JAVA-parallel stream,320000,1,604.0
JAVA-parallel stream,320000,1,663.0
JAVA-parallel stream,320000,1,673.0
JAVA-parallel stream,320000,1,817.0
JAVA-parallel stream,320000,1,999.0
JAVA-parallel stream,3200000,1,4408.0
JAVA-parallel stream,3200000,1,4492.0
JAVA-parallel stream,3200000,1,4562.0
JAVA-parallel stream,3200000,1,4573.0
JAVA-parallel stream,3200000,1,4587.0
JAVA-parallel stream,3200000,1,4587.0
JAVA-parallel stream,3200000,1,4735.0
JAVA-parallel stream,3200000,1,5079.0
JAVA-parallel stream,3200000,1,6323.0
JAVA-parallel stream,3200000,1,6682.0
JAVA-parallel stream,32000000,1,47359.0
JAVA-parallel stream,32000000,1,47450.0
JAVA-parallel stream,32000000,1,48086.0
JAVA-parallel stream,32000000,1,48897.0
JAVA-parallel stream,32000000,1,49962.0
JAVA-parallel stream,32000000,1,51240.0
JAVA-parallel stream,32000000,1,51293.0
JAVA-parallel stream,32000000,1,51618.0
JAVA-parallel stream,32000000,1,52110.0
JAVA-parallel stream,32000000,1,60361.0
